altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,id,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
5649,5650,5601,5602,CALLE,2070,Comuna 10,INDEC,207001000190,2000010,Ciudad Autónoma de Buenos Aires,ACONCAGUA,2,Ciudad Autónoma de Buenos Aires
1999,2000,1901,1902,CALLE,2070,Comuna 10,INDEC,207001000415,2000010,Ciudad Autónoma de Buenos Aires,ALICANTE,2,Ciudad Autónoma de Buenos Aires
399,400,1,2,AV,2070,Comuna 10,INDEC,207001001500,2000010,Ciudad Autónoma de Buenos Aires,AV LACARRA,2,Ciudad Autónoma de Buenos Aires
4999,5000,4901,4902,CALLE,2070,Comuna 10,INDEC,207001002205,2000010,Ciudad Autónoma de Buenos Aires,BEYROUTH,2,Ciudad Autónoma de Buenos Aires
2999,3000,2901,2902,CALLE,2070,Comuna 10,INDEC,207001003935,2000010,Ciudad Autónoma de Buenos Aires,COLIGUE,2,Ciudad Autónoma de Buenos Aires
2199,2200,2001,2002,CALLE,2070,Comuna 10,INDEC,207001003940,2000010,Ciudad Autónoma de Buenos Aires,COLIQUEO,2,Ciudad Autónoma de Buenos Aires
499,500,1,2,CALLE,2070,Comuna 10,INDEC,207001004480,2000010,Ciudad Autónoma de Buenos Aires,DOLORES,2,Ciudad Autónoma de Buenos Aires
899,900,701,702,CALLE,2070,Comuna 10,INDEC,207001005100,2000010,Ciudad Autónoma de Buenos Aires,EMILIO CASTELAR,2,Ciudad Autónoma de Buenos Aires
4899,4900,4801,4802,CALLE,2070,Comuna 10,INDEC,207001005110,2000010,Ciudad Autónoma de Buenos Aires,EMILIO DE ALVEAR,2,Ciudad Autónoma de Buenos Aires
5599,5600,5501,5502,CALLE,2070,Comuna 10,INDEC,207001005775,2000010,Ciudad Autónoma de Buenos Aires,GARCIA DE COSSIO,2,Ciudad Autónoma de Buenos Aires
5099,5100,4701,4702,CALLE,2070,Comuna 10,INDEC,207001006720,2000010,Ciudad Autónoma de Buenos Aires,JOSE DE MATURANA,2,Ciudad Autónoma de Buenos Aires
6299,6300,6201,6202,CALLE,2070,Comuna 10,INDEC,207001007140,2000010,Ciudad Autónoma de Buenos Aires,LA DILIGENCIA,2,Ciudad Autónoma de Buenos Aires
399,400,1,2,CALLE,2070,Comuna 10,INDEC,207001007930,2000010,Ciudad Autónoma de Buenos Aires,MANZONI,2,Ciudad Autónoma de Buenos Aires
1099,1100,901,902,CALLE,2070,Comuna 10,INDEC,207001007940,2000010,Ciudad Autónoma de Buenos Aires,MAR DEL PLATA,2,Ciudad Autónoma de Buenos Aires
4599,4600,4501,4502,CALLE,2070,Comuna 10,INDEC,207001007985,2000010,Ciudad Autónoma de Buenos Aires,MARIA A DE LA PAZ Y FIGUEROA,2,Ciudad Autónoma de Buenos Aires
399,400,301,302,CALLE,2070,Comuna 10,INDEC,207001008245,2000010,Ciudad Autónoma de Buenos Aires,MENENDEZ Y PELAYO,2,Ciudad Autónoma de Buenos Aires
2699,2700,2601,2602,CALLE,2070,Comuna 10,INDEC,207001008285,2000010,Ciudad Autónoma de Buenos Aires,MIGUEL COUTO,2,Ciudad Autónoma de Buenos Aires
499,500,1,2,CALLE,2070,Comuna 10,INDEC,207001008310,2000010,Ciudad Autónoma de Buenos Aires,MILTON,2,Ciudad Autónoma de Buenos Aires
4399,4400,4001,4002,CALLE,2070,Comuna 10,INDEC,207001008335,2000010,Ciudad Autónoma de Buenos Aires,MIRAMAR,2,Ciudad Autónoma de Buenos Aires
1599,1600,1301,1302,CALLE,2070,Comuna 10,INDEC,207001008560,2000010,Ciudad Autónoma de Buenos Aires,NANDUTI,2,Ciudad Autónoma de Buenos Aires
999,1000,901,902,CALLE,2070,Comuna 10,INDEC,207001009255,2000010,Ciudad Autónoma de Buenos Aires,PEHUAJO,2,Ciudad Autónoma de Buenos Aires
799,800,1,2,CALLE,2070,Comuna 10,INDEC,207001010320,2000010,Ciudad Autónoma de Buenos Aires,SAN NICOLAS,2,Ciudad Autónoma de Buenos Aires
6199,6200,5301,5302,CALLE,2070,Comuna 10,INDEC,207001010555,2000010,Ciudad Autónoma de Buenos Aires,SIMBRON,2,Ciudad Autónoma de Buenos Aires
1699,1700,1601,1602,CALLE,2077,Comuna 11,INDEC,207701000430,2000010,Ciudad Autónoma de Buenos Aires,ALMAGRO,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2077,Comuna 11,INDEC,207701001120,2000010,Ciudad Autónoma de Buenos Aires,AV CHORROARIN,2,Ciudad Autónoma de Buenos Aires
